8 * 2 * 22 * 97 = 34144   -->solution=0
46 * 55 * 12 * 32 = 971520   -->solution=48477312
55 * 12 * 32 * 63 = 1330560   -->solution=48477312
12 * 32 * 63 * 93 = 2249856   -->solution=48477312
32 * 63 * 93 * 53 = 9936864   -->solution=48477312
63 * 93 * 53 * 69 = 21426363   -->solution=48477312

4 * 42 * 16 * 73 = 196224   -->solution=48477312
42 * 16 * 73 * 38 = 1864128   -->solution=48477312
16 * 73 * 38 * 25 = 1109600   -->solution=48477312
73 * 38 * 25 * 39 = 2704650   -->solution=48477312
38 * 25 * 39 * 11 = 407550   -->solution=48477312
25 * 39 * 11 * 24 = 257400   -->solution=48477312
39 * 11 * 24 * 94 = 967824   -->solution=48477312
11 * 24 * 94 * 72 = 1786752   -->solution=48477312
24 * 94 * 72 * 18 = 2923776   -->solution=48477312
94 * 72 * 18 * 8 = 974592   -->solution=48477312
72 * 18 * 8 * 46 = 476928   -->solution=48477312
18 * 8 * 46 * 29 = 192096   -->solution=48477312
8 * 46 * 29 * 32 = 341504   -->solution=48477312
46 * 29 * 32 * 40 = 1707520   -->solution=48477312
29 * 32 * 40 * 62 = 2301440   -->solution=48477312
32 * 40 * 62 * 76 = 6031360   -->solution=48477312
40 * 62 * 76 * 36 = 6785280   -->solution=48477312

20 * 69 * 36 * 41 = 2036880   -->solution=48477312
69 * 36 * 41 * 72 = 7332768   -->solution=48477312
36 * 41 * 72 * 30 = 3188160   -->solution=48477312
41 * 72 * 30 * 23 = 2036880   -->solution=48477312
72 * 30 * 23 * 88 = 4371840   -->solution=48477312
30 * 23 * 88 * 34 = 2064480   -->solution=48477312
23 * 88 * 34 * 62 = 4266592   -->solution=48477312
88 * 34 * 62 * 99 = 18364896   -->solution=48477312
34 * 62 * 99 * 69 = 14399748   -->solution=48477312
62 * 99 * 69 * 82 = 34728804   -->solution=48477312
99 * 69 * 82 * 67 = 37529514   -->solution=48477312
69 * 82 * 67 * 59 = 22366074   -->solution=48477312
82 * 67 * 59 * 85 = 27552410   -->solution=48477312
67 * 59 * 85 * 74 = 24864370   -->solution=48477312
59 * 85 * 74 * 4 = 1484440   -->solution=48477312
85 * 74 * 4 * 36 = 905760   -->solution=48477312
74 * 4 * 36 * 16 = 170496   -->solution=48477312

20 * 73 * 35 * 29 = 1481900   -->solution=48477312
73 * 35 * 29 * 78 = 5779410   -->solution=48477312
35 * 29 * 78 * 31 = 2454270   -->solution=48477312
29 * 78 * 31 * 90 = 6310980   -->solution=48477312
78 * 31 * 90 * 1 = 217620   -->solution=48477312
31 * 90 * 1 * 74 = 206460   -->solution=48477312
90 * 1 * 74 * 31 = 206460   -->solution=48477312
1 * 74 * 31 * 49 = 112406   -->solution=48477312
74 * 31 * 49 * 71 = 7980826   -->solution=48477312
31 * 49 * 71 * 48 = 5176752   -->solution=48477312
49 * 71 * 48 * 86 = 14361312   -->solution=48477312
71 * 48 * 86 * 81 = 23740128   -->solution=48477312
48 * 86 * 81 * 16 = 5349888   -->solution=48477312
86 * 81 * 16 * 23 = 2563488   -->solution=48477312
81 * 16 * 23 * 57 = 1699056   -->solution=48477312
16 * 23 * 57 * 5 = 104880   -->solution=48477312
23 * 57 * 5 * 54 = 353970   -->solution=48477312

1 * 70 * 54 * 71 = 268380   -->solution=48477312
70 * 54 * 71 * 83 = 22275540   -->solution=48477312
54 * 71 * 83 * 51 = 16229322   -->solution=48477312
71 * 83 * 51 * 54 = 16229322   -->solution=48477312
83 * 51 * 54 * 69 = 15772158   -->solution=48477312
51 * 54 * 69 * 16 = 3040416   -->solution=48477312
